节点,X坐标,Y坐标,U位移,V位移
173,20.8325,2.36264,6.23985e-006,-8.82052e-005
174,20.6254,2.63848,8.21366e-006,-8.66952e-005
175,20.3749,3,1.07875e-005,-8.48837e-005
176,21.0076,0.379476,-8.17124e-006,-8.9509e-005
177,21.2067,0.607513,-6.53265e-006,-9.09677e-005
178,21.1902,0,-1.10167e-005,-9.08849e-005
179,21.4047,0.726164,-5.69069e-006,-9.24296e-005
180,21.4553,1.14199,-2.63296e-006,-9.279e-005
181,21.4829,0.931084,-4.18924e-006,-9.30011e-005
182,21.4243,1.55511,4.01849e-007,-9.25548e-005
183,21.5244,1.35053,-1.10166e-006,-9.32995e-005
184,21.5087,1.78059,2.06339e-006,-9.31844e-005
185,21.3923,2.01506,3.77778e-006,-9.23249e-005
186,21.1924,2.30968,5.91595e-006,-9.08563e-005
187,21.0103,2.65786,8.44279e-006,-8.95306e-005
188,20.7786,3,1.09017e-005,-8.78484e-005
189,21.4201,0.397095,-8.1295e-006,-9.25605e-005
190,21.6147,0,-1.11283e-005,-9.40368e-005
191,21.69,0.69442,-5.97087e-006,-9.45556e-005
192,21.738,1.10271,-2.94464e-006,-9.4898e-005
193,21.7593,1.51853,1.35396e-007,-9.50521e-005
194,21.7349,1.92518,3.14764e-006,-9.48761e-005
195,21.5982,2.29123,5.84534e-006,-9.38684e-005
196,21.4059,2.64537,8.43619e-006,-9.24568e-005
197,21.1902,3,1.10121e-005,-9.08839e-005
198,21.8533,0.383318,-8.31935e-006,-9.57942e-005
199,22.0527,0,-1.12421e-005,-9.73186e-005
200,22.0325,0.772041,-5.43953e-006,-9.71214e-005
201,22.1242,1.25297,-1.84936e-006,-9.77988e-005
202,22.1249,1.74552,1.83405e-006,-9.78043e-005
203,22.011,2.1944,5.18107e-006,-9.69572e-005
204,21.8294,2.61346,8.28541e-006,-9.56138e-005
205,21.6148,3,1.11246e-005,-9.40365e-005
206,22.3097,0.436351,-8.00564e-006,-9.92319e-005
207,22.5568,0,-1.13652e-005,-0.000101136
208,22.497,0.9338,-4.27448e-006,-0.000100633
209,22.5643,1.49378,-4.89857e-008,-0.000101137
210,22.4898,2.04352,4.09779e-006,-0.000100577
211,22.2887,2.54746,7.87445e-006,-9.90703e-005
212,22.0527,3,1.12383e-005,-9.7318e-005
213,22.8898,0.518391,-7.47606e-006,-0.000103649
214,23.2327,0,-1.1514e-005,-0.000106313
215,23.0806,1.12735,-2.84694e-006,-0.000105096
216,23.0738,1.81605,2.40942e-006,-0.000105042
217,22.8828,2.44492,7.18929e-006,-0.000103592
218,22.5569,3,1.13622e-005,-0.000101134
219,23.6642,0.612146,-6.8553e-006,-0.000109624
220,24.1423,0,-1.16868e-005,-0.00011338
