材料常数为：2e+011	泊松比为：0.3	厚度为：1
节点138坐标为:X=20.791629	Y=2.229313
节点139坐标为:X=20.914688	Y=2.188050
节点140坐标为:X=20.702008	Y=2.371210
节点141坐标为:X=20.529266	Y=2.438241
节点142坐标为:X=20.326531	Y=2.651014
节点143坐标为:X=20.109057	Y=3.000000
节点144坐标为:X=20.757863	Y=0.361332
节点145坐标为:X=20.971527	Y=0.618362
节点146坐标为:X=20.938758	Y=0.000000
节点147坐标为:X=21.191643	Y=0.860399
节点148坐标为:X=21.153543	Y=0.706551
节点149坐标为:X=21.293829	Y=1.034977
节点150坐标为:X=21.359359	Y=1.414220
节点151坐标为:X=21.400733	Y=1.252774
节点152坐标为:X=21.383301	Y=1.549036
节点153坐标为:X=21.325213	Y=1.690685
节点154坐标为:X=21.367310	Y=1.837366
节点155坐标为:X=21.237622	Y=1.994163
节点156坐标为:X=21.069472	Y=2.141412
节点157坐标为:X=20.960714	Y=2.363632
节点158坐标为:X=20.731358	Y=2.642591
节点159坐标为:X=20.521175	Y=3.000000
节点160坐标为:X=21.196421	Y=0.395710
节点161坐标为:X=21.362137	Y=0.000000
节点162坐标为:X=21.404424	Y=0.738938
节点163坐标为:X=21.594433	Y=1.015897
节点164坐标为:X=21.538066	Y=1.436823
节点165坐标为:X=21.650323	Y=1.254135
节点166坐标为:X=21.542144	Y=1.699572
节点167坐标为:X=21.518066	Y=1.992364
节点168坐标为:X=21.314270	Y=2.310501
节点169坐标为:X=21.134358	Y=2.666082
节点170坐标为:X=20.938918	Y=3.000000
节点171坐标为:X=21.592393	Y=0.388696
节点172坐标为:X=21.791301	Y=0.000000
节点173坐标为:X=21.792453	Y=0.762842
节点174坐标为:X=21.898186	Y=1.132357
节点175坐标为:X=21.836339	Y=1.497166
节点176坐标为:X=21.826716	Y=1.893566
节点177坐标为:X=21.729553	Y=2.261657
节点178坐标为:X=21.553615	Y=2.638640
节点179坐标为:X=21.362364	Y=3.000000
节点180坐标为:X=22.028806	Y=0.428515
节点181坐标为:X=22.244217	Y=0.000000
节点182坐标为:X=22.209317	Y=0.891966
节点183坐标为:X=22.286240	Y=1.341259
节点184坐标为:X=22.112666	Y=1.722462
节点185坐标为:X=22.174165	Y=2.141720
节点186坐标为:X=21.989702	Y=2.588095
节点187坐标为:X=21.791590	Y=3.000000
节点188坐标为:X=22.543156	Y=0.527585
节点189坐标为:X=22.836662	Y=0.000000
节点190坐标为:X=22.725561	Y=1.150074
节点191坐标为:X=22.635646	Y=1.804817
节点192坐标为:X=22.557752	Y=2.441343
节点193坐标为:X=22.244640	Y=3.000000
节点194坐标为:X=23.165964	Y=0.692812
节点195坐标为:X=23.635353	Y=0.000000
节点196坐标为:X=23.367429	Y=1.526273
节点197坐标为:X=23.197948	Y=2.331059
节点198坐标为:X=22.837270	Y=3.000000
节点199坐标为:X=24.713030	Y=0.000000
节点200坐标为:X=24.250478	Y=1.033718
节点201坐标为:X=24.083778	Y=2.151164
节点202坐标为:X=23.636079	Y=3.000000
节点203坐标为:X=25.440376	Y=0.888694
节点204坐标为:X=26.165694	Y=0.000000
节点205坐标为:X=25.336869	Y=2.015936
节点206坐标为:X=24.713863	Y=3.000000
节点207坐标为:X=27.994315	Y=0.000000
节点208坐标为:X=26.735810	Y=1.393816
节点209坐标为:X=26.166521	Y=3.000000
节点210坐标为:X=28.708273	Y=1.497735
节点211坐标为:X=30.000000	Y=0.000000
节点212坐标为:X=27.994856	Y=3.000000
节点213坐标为:X=30.000000	Y=1.500000
节点214坐标为:X=30.000000	Y=3.000000
单元号码为：1	组成单元的节点号码为:1	2	3
单元号码为：2	组成单元的节点号码为:4	2	1
单元号码为：3	组成单元的节点号码为:4	1	5
单元号码为：4	组成单元的节点号码为:6	3	7
单元号码为：5	组成单元的节点号码为:1	3	6
单元号码为：6	组成单元的节点号码为:1	6	8
单元号码为：7	组成单元的节点号码为:1	8	5
单元号码为：8	组成单元的节点号码为:9	7	10
单元号码为：9	组成单元的节点号码为:7	9	6
单元号码为：10	组成单元的节点号码为:6	11	8
单元号码为：11	组成单元的节点号码为:11	6	9
单元号码为：12	组成单元的节点号码为:12	10	13
单元号码为：13	组成单元的节点号码为:10	12	9
单元号码为：14	组成单元的节点号码为:9	14	11
单元号码为：15	组成单元的节点号码为:14	9	12
单元号码为：16	组成单元的节点号码为:15	13	16
单元号码为：17	组成单元的节点号码为:13	15	12
单元号码为：18	组成单元的节点号码为:12	17	14
单元号码为：19	组成单元的节点号码为:17	12	15
单元号码为：20	组成单元的节点号码为:18	16	19
单元号码为：21	组成单元的节点号码为:16	18	15
单元号码为：22	组成单元的节点号码为:15	20	17
单元号码为：23	组成单元的节点号码为:20	15	18
单元号码为：24	组成单元的节点号码为:21	19	22
单元号码为：25	组成单元的节点号码为:19	21	18
单元号码为：26	组成单元的节点号码为:18	23	20
单元号码为：27	组成单元的节点号码为:23	18	21
单元号码为：28	组成单元的节点号码为:24	25	22
单元号码为：29	组成单元的节点号码为:22	25	21
单元号码为：30	组成单元的节点号码为:21	26	23
单元号码为：31	组成单元的节点号码为:26	21	25
单元号码为：32	组成单元的节点号码为:27	25	24
单元号码为：33	组成单元的节点号码为:27	24	28
单元号码为：34	组成单元的节点号码为:27	29	25
单元号码为：35	组成单元的节点号码为:30	29	27
单元号码为：36	组成单元的节点号码为:31	26	25
单元号码为：37	组成单元的节点号码为:29	31	25
单元号码为：38	组成单元的节点号码为:28	32	27
单元号码为：39	组成单元的节点号码为:30	27	32
单元号码为：40	组成单元的节点号码为:33	30	32
单元号码为：41	组成单元的节点号码为:32	28	34
单元号码为：42	组成单元的节点号码为:33	35	30
单元号码为：43	组成单元的节点号码为:33	36	35
单元号码为：44	组成单元的节点号码为:37	38	36
单元号码为：45	组成单元的节点号码为:38	35	36
单元号码为：46	组成单元的节点号码为:30	39	29
单元号码为：47	组成单元的节点号码为:35	39	30
单元号码为：48	组成单元的节点号码为:29	40	31
单元号码为：49	组成单元的节点号码为:40	29	39
单元号码为：50	组成单元的节点号码为:41	37	36
单元号码为：51	组成单元的节点号码为:34	42	32
单元号码为：52	组成单元的节点号码为:33	32	42
单元号码为：53	组成单元的节点号码为:36	33	42
单元号码为：54	组成单元的节点号码为:43	41	36
单元号码为：55	组成单元的节点号码为:43	36	42
单元号码为：56	组成单元的节点号码为:42	34	44
单元号码为：57	组成单元的节点号码为:45	38	37
单元号码为：58	组成单元的节点号码为:46	38	45
单元号码为：59	组成单元的节点号码为:35	47	39
单元号码为：60	组成单元的节点号码为:38	47	35
单元号码为：61	组成单元的节点号码为:46	47	38
单元号码为：62	组成单元的节点号码为:39	48	40
单元号码为：63	组成单元的节点号码为:48	39	47
单元号码为：64	组成单元的节点号码为:49	50	51
单元号码为：65	组成单元的节点号码为:52	50	49
单元号码为：66	组成单元的节点号码为:53	54	41
单元号码为：67	组成单元的节点号码为:41	43	53
单元号码为：68	组成单元的节点号码为:55	42	44
单元号码为：69	组成单元的节点号码为:43	42	55
单元号码为：70	组成单元的节点号码为:43	55	53
单元号码为：71	组成单元的节点号码为:56	57	54
单元号码为：72	组成单元的节点号码为:54	53	56
单元号码为：73	组成单元的节点号码为:58	51	57
单元号码为：74	组成单元的节点号码为:49	51	58
单元号码为：75	组成单元的节点号码为:58	57	56
单元号码为：76	组成单元的节点号码为:59	60	61
单元号码为：77	组成单元的节点号码为:60	62	63
单元号码为：78	组成单元的节点号码为:62	60	59
单元号码为：79	组成单元的节点号码为:50	64	61
单元号码为：80	组成单元的节点号码为:64	50	52
单元号码为：81	组成单元的节点号码为:65	61	64
单元号码为：82	组成单元的节点号码为:59	61	65
单元号码为：83	组成单元的节点号码为:55	44	66
单元号码为：84	组成单元的节点号码为:67	63	62
单元号码为：85	组成单元的节点号码为:68	63	67
单元号码为：86	组成单元的节点号码为:63	68	69
单元号码为：87	组成单元的节点号码为:70	71	72
单元号码为：88	组成单元的节点号码为:73	71	74
单元号码为：89	组成单元的节点号码为:73	75	76
单元号码为：90	组成单元的节点号码为:74	75	73
